Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-DiagnosticLaboratoryResults.json	61564	9	0	0	0	0	0	57	0	80	0	0	1	0	0	0	0	1	0	0	899	1481	0	0	0	0	32	0	1
fsh-generated/resources/StructureDefinition-MonitoringLaboratoryResults.json	8999	3	0	0	0	0	0	23	0	16	0	0	0	0	0	0	0	1	0	0	155	246	0	0	0	1	6	0	1
fsh-generated/resources/StructureDefinition-Outcome.json	3513	3	0	0	0	0	0	30	0	10	0	0	0	0	0	0	0	0	0	0	75	143	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-TBCaseSurveillance.json	8151	3	0	0	0	0	0	32	0	16	0	0	0	0	0	0	0	0	0	0	140	167	0	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-TBTreatment.json	14978	4	1	0	0	0	0	46	0	20	0	0	0	0	0	0	0	0	0	0	253	249	0	0	0	0	6	0	0
fsh-generated/resources/ValueSet-GENYesNoUnknownVS.json	651	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	54	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-RRTGENSexVS.json	622	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	59	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-TBCSDenotificationReasonsVS.json	400	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	48	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-TBCSTreatmentOutcomeVS.json	682	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	23	49	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-susceptible-resistant-indeterminate-vs.json	440	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	48	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tb-cs---confirmation-method-vs.json	397	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	46	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tb-cs---resistance-classification-vs.json	427	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	49	0	0	0	0	4	0	1
fsh-generated/resources/ValueSet-tb-cs---site-of-disease-vs.json	376	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	47	0	0	0	0	5	0	0
fsh-generated/resources/ValueSet-tb-cs---treatment-category-vs.json	392	2	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	15	64	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-tb-cs---treatment-history-vs.json	387	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	69	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-tb-lab---dst-result-vs.json	357	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	15	68	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tb-lab---final-culture-result-vs.json	406	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	61	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tb-lab---lpa-specimen-vs.json	367	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	64	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-tb-lab---mtb-test-result-vs.json	381	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	70	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tb-lab---sample-quality-vs.json	377	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	66	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tb-lab---sample-status-vs.json	372	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	67	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-tb-lab---smear-result-vs.json	367	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	66	0	0	0	0	0	0	0
