"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DiagnosticLaboratoryResults","DiagnosticLaboratoryResults","","","",0,*,"","","","null {[]} {[]}
","Diagnostic laboratory results","Captures diagnostic test results along with sample information to determine TB infection status.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DiagnosticLaboratoryResults.solidInitialBedaquilineBdq","DiagnosticLaboratoryResults.solidInitialBedaquilineBdq","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (solid media) - Bdq","TB-LAB - Initial DST (solid media) - Bdq","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidInitialBedaquilineBdq",0,1,"",""
"DiagnosticLaboratoryResults.solidInitialDelamanidDlm","DiagnosticLaboratoryResults.solidInitialDelamanidDlm","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (solid media) - Dlm","TB-LAB - Initial DST (solid media) - Dlm","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidInitialDelamanidDlm",0,1,"",""
"DiagnosticLaboratoryResults.solidInitialIsoniazidClinicalBreakpointInhCb","DiagnosticLaboratoryResults.solidInitialIsoniazidClinicalBreakpointInhCb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (solid media) - Inh (CB)","TB-LAB - Initial DST (solid media) - Inh (CB)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.solidInitialIsoniazidClinicalBreakpointInhCb",0,1,"",""
"DiagnosticLaboratoryResults.dateRifResistanceDetected","DiagnosticLaboratoryResults.dateRifResistanceDetected","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date Rif-resistance detected","TB-LAB - Date Rif-resistance detected","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateRifResistanceDetected",0,1,"",""
"DiagnosticLaboratoryResults.dateOfSolidCultureResult","DiagnosticLaboratoryResults.dateOfSolidCultureResult","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Solid culture result date","TB-LAB - Solid culture result date","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfSolidCultureResult",0,1,"",""
"DiagnosticLaboratoryResults.xpertMtbRifMtb","DiagnosticLaboratoryResults.xpertMtbRifMtb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Xpert MTB/RIF result - MTB","TB-LAB - Xpert MTB/RIF result - MTB","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABMTBTestResultVS","",,,,"DiagnosticLaboratoryResults.xpertMtbRifMtb",0,1,"",""
"DiagnosticLaboratoryResults.xpertMtbRifRif","DiagnosticLaboratoryResults.xpertMtbRifRif","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Xpert MTB/RIF result - Rif","TB-LAB - Xpert MTB/RIF result - Rif","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.xpertMtbRifRif",0,1,"",""
"DiagnosticLaboratoryResults.solidCultureSpecimenNumber","DiagnosticLaboratoryResults.solidCultureSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Solid culture specimen number","TB-LAB - Solid culture specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.solidCultureSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.solidCultureResult","DiagnosticLaboratoryResults.solidCultureResult","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Solid culture test result","TB-LAB - Solid culture test result","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABFinalCultureResultVS","",,,,"DiagnosticLaboratoryResults.solidCultureResult",0,1,"",""
"DiagnosticLaboratoryResults.smearSpecimenNumber","DiagnosticLaboratoryResults.smearSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Smear specimen number","TB-LAB - Smear specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.smearSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.xpertMtbRifSpecimenNumber","DiagnosticLaboratoryResults.xpertMtbRifSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Xpert MTB/RIF specimen number","TB-LAB - Xpert MTB/RIF specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.xpertMtbRifSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.dateOfXpertMtbRifResult","DiagnosticLaboratoryResults.dateOfXpertMtbRifResult","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Xpert MTB/RIF result date","TB-LAB - Xpert MTB/RIF result date","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfXpertMtbRifResult",0,1,"",""
"DiagnosticLaboratoryResults.sputumSmearMicroscopy","DiagnosticLaboratoryResults.sputumSmearMicroscopy","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Sputum smear microscopy","TB-LAB - Sputum smear microscopy","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.sputumSmearMicroscopy",0,1,"",""
"DiagnosticLaboratoryResults.xpertMtbRif","DiagnosticLaboratoryResults.xpertMtbRif","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Xpert MTB/RIF","TB-LAB - Xpert MTB/RIF","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.xpertMtbRif",0,1,"",""
"DiagnosticLaboratoryResults.xpertMtbRifUltra","DiagnosticLaboratoryResults.xpertMtbRifUltra","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Xpert MTB/RIF Ultra","TB-LAB - Xpert MTB/RIF Ultra","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.xpertMtbRifUltra",0,1,"",""
"DiagnosticLaboratoryResults.cultureInLiquidMediaEGMgit","DiagnosticLaboratoryResults.cultureInLiquidMediaEGMgit","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Culture in liquid media (e.g. MGIT)","TB-LAB - Culture in liquid media (e.g. MGIT)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.cultureInLiquidMediaEGMgit",0,1,"",""
"DiagnosticLaboratoryResults.cultureInSolidMediaEGLj","DiagnosticLaboratoryResults.cultureInSolidMediaEGLj","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Culture in solid media (e.g. LJ)","TB-LAB - Culture in solid media (e.g. LJ)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.cultureInSolidMediaEGLj",0,1,"",""
"DiagnosticLaboratoryResults.initialDstInLiquidMediaEGMgit","DiagnosticLaboratoryResults.initialDstInLiquidMediaEGMgit","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Initial DST in liquid media (e.g. MGIT)","TB-LAB - Initial DST in liquid media (e.g. MGIT)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.initialDstInLiquidMediaEGMgit",0,1,"",""
"DiagnosticLaboratoryResults.initialDstInSolidMediaEGLj","DiagnosticLaboratoryResults.initialDstInSolidMediaEGLj","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Initial DST in solid media (e.g. LJ)","TB-LAB - Initial DST in solid media (e.g. LJ)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.initialDstInSolidMediaEGLj",0,1,"",""
"DiagnosticLaboratoryResults.subsequentDstInLiquidMediaEGMgit","DiagnosticLaboratoryResults.subsequentDstInLiquidMediaEGMgit","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Subsequent DST in liquid media (e.g. MGIT)","TB-LAB - Subsequent DST in liquid media (e.g. MGIT)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.subsequentDstInLiquidMediaEGMgit",0,1,"",""
"DiagnosticLaboratoryResults.subsequentDstInSolidMediaEGLj","DiagnosticLaboratoryResults.subsequentDstInSolidMediaEGLj","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - Subsequent DST in solid media (e.g. LJ)","TB-LAB - Subsequent DST in solid media (e.g. LJ)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.subsequentDstInSolidMediaEGLj",0,1,"",""
"DiagnosticLaboratoryResults.dateOfFinalInitialDstSolidMediaResults","DiagnosticLaboratoryResults.dateOfFinalInitialDstSolidMediaResults","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of initial DST results (solid media)","TB-LAB - Date of initial DST results (solid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfFinalInitialDstSolidMediaResults",0,1,"",""
"DiagnosticLaboratoryResults.xpertMtbRifUltraSpecimenNumber","DiagnosticLaboratoryResults.xpertMtbRifUltraSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Xpert MTB/RIF Ultra specimen number","TB-LAB - Xpert MTB/RIF Ultra specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.xpertMtbRifUltraSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.dateOfXpertMtbRifUltraResult","DiagnosticLaboratoryResults.dateOfXpertMtbRifUltraResult","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Xpert MTB/RIF Ultra result date","TB-LAB - Xpert MTB/RIF Ultra result date","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfXpertMtbRifUltraResult",0,1,"",""
"DiagnosticLaboratoryResults.xpertMtbRifUltraMtb","DiagnosticLaboratoryResults.xpertMtbRifUltraMtb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Xpert MTB/RIF Ultra result - MTB","TB-LAB - Xpert MTB/RIF Ultra result - MTB","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABMTBTestResultVS","",,,,"DiagnosticLaboratoryResults.xpertMtbRifUltraMtb",0,1,"",""
"DiagnosticLaboratoryResults.xpertMtbRifUltraRif","DiagnosticLaboratoryResults.xpertMtbRifUltraRif","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Xpert MTB/RIF Ultra result - Rif","TB-LAB - Xpert MTB/RIF Ultra result - Rif","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.xpertMtbRifUltraRif",0,1,"",""
"DiagnosticLaboratoryResults.dateOfLiquidCultureResult","DiagnosticLaboratoryResults.dateOfLiquidCultureResult","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Liquid culture result date","TB-LAB - Liquid culture result date","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfLiquidCultureResult",0,1,"",""
"DiagnosticLaboratoryResults.liquidCultureResult","DiagnosticLaboratoryResults.liquidCultureResult","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Liquid culture test result","TB-LAB - Liquid culture test result","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABFinalCultureResultVS","",,,,"DiagnosticLaboratoryResults.liquidCultureResult",0,1,"",""
"DiagnosticLaboratoryResults.liquidCultureSpecimenNumber","DiagnosticLaboratoryResults.liquidCultureSpecimenNumber","","","",0,1,"","","","string {[]} {[]}
","TB-LAB - Liquid culture specimen number","TB-LAB - Liquid culture specimen number","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.liquidCultureSpecimenNumber",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialAmikacinAmk","DiagnosticLaboratoryResults.liquidInitialAmikacinAmk","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Amk","TB-LAB - Initial DST (liquid media) - Amk","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialAmikacinAmk",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialBedaquilineBdq","DiagnosticLaboratoryResults.liquidInitialBedaquilineBdq","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Bdq","TB-LAB - Initial DST (liquid media) - Bdq","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialBedaquilineBdq",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialClofazimineCfz","DiagnosticLaboratoryResults.liquidInitialClofazimineCfz","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Cfz","TB-LAB - Initial DST (liquid media) - Cfz","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialClofazimineCfz",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialDelamanidDlm","DiagnosticLaboratoryResults.liquidInitialDelamanidDlm","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Dlm","TB-LAB - Initial DST (liquid media) - Dlm","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialDelamanidDlm",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialEthambutolEmb","DiagnosticLaboratoryResults.liquidInitialEthambutolEmb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Emb","TB-LAB - Initial DST (liquid media) - Emb","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialEthambutolEmb",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialIsoniazidCriticalConcentrationInhCc","DiagnosticLaboratoryResults.liquidInitialIsoniazidCriticalConcentrationInhCc","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Inh (CC)","TB-LAB - Initial DST (liquid media) - Inh (CC)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialIsoniazidCriticalConcentrationInhCc",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialIsoniazidClinicalBreakpointInhCb","DiagnosticLaboratoryResults.liquidInitialIsoniazidClinicalBreakpointInhCb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Inh (CB)","TB-LAB - Initial DST (liquid media) - Inh (CB)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialIsoniazidClinicalBreakpointInhCb",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialLevofloxacinLfx","DiagnosticLaboratoryResults.liquidInitialLevofloxacinLfx","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Lfx","TB-LAB - Initial DST (liquid media) - Lfx","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialLevofloxacinLfx",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialLinezolidLzd","DiagnosticLaboratoryResults.liquidInitialLinezolidLzd","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Lzd","TB-LAB - Initial DST (liquid media) - Lzd","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialLinezolidLzd",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialMoxifloxacinClinicalBreakpointMfxCb","DiagnosticLaboratoryResults.liquidInitialMoxifloxacinClinicalBreakpointMfxCb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Mfx (CB)","TB-LAB - Initial DST (liquid media) - Mfx (CB)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialMoxifloxacinClinicalBreakpointMfxCb",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialMoxifloxacinCriticalConcentrationMfxCc","DiagnosticLaboratoryResults.liquidInitialMoxifloxacinCriticalConcentrationMfxCc","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Mfx (CC)","TB-LAB - Initial DST (liquid media) - Mfx (CC)","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialMoxifloxacinCriticalConcentrationMfxCc",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialRifampicinRif","DiagnosticLaboratoryResults.liquidInitialRifampicinRif","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Rif","TB-LAB - Initial DST (liquid media) - Rif","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialRifampicinRif",0,1,"",""
"DiagnosticLaboratoryResults.liquidInitialPyrazinamidePza","DiagnosticLaboratoryResults.liquidInitialPyrazinamidePza","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Initial DST (liquid media) - Pza","TB-LAB - Initial DST (liquid media) - Pza","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidInitialPyrazinamidePza",0,1,"",""
"DiagnosticLaboratoryResults.dateOfFinalInitialDstLiquidMediaResults","DiagnosticLaboratoryResults.dateOfFinalInitialDstLiquidMediaResults","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of initial DST results (liquid media)","TB-LAB - Date of initial DST results (liquid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfFinalInitialDstLiquidMediaResults",0,1,"",""
"DiagnosticLaboratoryResults.dateOfFinalSubsequentDstLiquidMediaResults","DiagnosticLaboratoryResults.dateOfFinalSubsequentDstLiquidMediaResults","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of subsequent DST results (liquid media)","TB-LAB - Date of subsequent DST results (liquid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfFinalSubsequentDstLiquidMediaResults",0,1,"",""
"DiagnosticLaboratoryResults.dateOfFinalSubsequentDstSolidMediaResults","DiagnosticLaboratoryResults.dateOfFinalSubsequentDstSolidMediaResults","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of subsequent DST results (solid media)","TB-LAB - Date of subsequent DST results (solid media)","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfFinalSubsequentDstSolidMediaResults",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentAmikacinAmk","DiagnosticLaboratoryResults.liquidSubsequentAmikacinAmk","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Amk","TB-LAB - Subsequent DST (liquid media) - Amk","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentAmikacinAmk",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentBedaquilineBdq","DiagnosticLaboratoryResults.liquidSubsequentBedaquilineBdq","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Bdq","TB-LAB - Subsequent DST (liquid media) - Bdq","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentBedaquilineBdq",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentClofazimineCfz","DiagnosticLaboratoryResults.liquidSubsequentClofazimineCfz","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Cfz","TB-LAB - Subsequent DST (liquid media) - Cfz","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentClofazimineCfz",0,1,"",""
"DiagnosticLaboratoryResults.dateOfSlLpa","DiagnosticLaboratoryResults.dateOfSlLpa","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of SL-LPA","TB-LAB - Date of SL-LPA","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfSlLpa",0,1,"",""
"DiagnosticLaboratoryResults.dateOfFlLpa","DiagnosticLaboratoryResults.dateOfFlLpa","","","",0,1,"","","","date {[]} {[]}
","TB-LAB - Date of FL-LPA","TB-LAB - Date of FL-LPA","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.dateOfFlLpa",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentDelamanidDlm","DiagnosticLaboratoryResults.liquidSubsequentDelamanidDlm","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Dlm","TB-LAB - Subsequent DST (liquid media) - Dlm","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentDelamanidDlm",0,1,"",""
"DiagnosticLaboratoryResults.slLpa","DiagnosticLaboratoryResults.slLpa","","","",0,1,"","","","boolean {[]} {[]}
","TB-LAB - SL-LPA","TB-LAB - SL-LPA","","","","","","","","","",,,,,"",,,,"DiagnosticLaboratoryResults.slLpa",0,1,"",""
"DiagnosticLaboratoryResults.finalResultAmikacinCapreomycinAmkCap","DiagnosticLaboratoryResults.finalResultAmikacinCapreomycinAmkCap","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - SL-LPA - Amk/Cap","TB-LAB - SL-LPA - Amk/Cap","","","","","","","","","",,"required","","http://example.org/ValueSet/SusceptibleResistantIndeterminateVS","",,,,"DiagnosticLaboratoryResults.finalResultAmikacinCapreomycinAmkCap",0,1,"",""
"DiagnosticLaboratoryResults.liquidSubsequentEthambutolEmb","DiagnosticLaboratoryResults.liquidSubsequentEthambutolEmb","","","",0,1,"","","","code {[]} {[]}
","TB-LAB - Subsequent DST (liquid media) - Emb","TB-LAB - Subsequent DST (liquid media) - Emb","","","","","","","","","",,"required","","http://example.org/ValueSet/TBLABDSTResultVS","",,,,"DiagnosticLaboratoryResults.liquidSubsequentEthambutolEmb",0,1,"",""
